song_id,quadrant,valence,arousal,mood_all,mood_all_weights,genre,genre_weights,theme,theme_weights,style,style_weights,top_k_mood,top_k_genre,top_k_theme,top_k_style,theme_label
MT0000010844,Q4,0.7,0.295625,"Amiable/Good-Natured,Earnest,Earthy,Gentle,Intimate,Plaintive,Poignant,Refined,Reflective,Sentimental,Soothing,Warm","5,5,5,5,5,5,5,5,6,7,8,8",Country,5,"Comfort,Heartache,Reminiscing","5,5,5","Contemporary Country,Outlaw Country","5,5","soothing,warm",country,"comfort,heartache,reminiscing","contemporary country,outlaw country","T1,T4,T5"
MT0000011975,Q2,0.305,0.54875,"Aggressive,Confrontational,Fierce,Harsh,Hostile,Intense,Menacing,Outrageous,Rousing,Tense/Anxious,Uncompromising,Unsettling,Urgent,Visceral,Volatile","3,5,5,6,6,9,9,9,9,9,9,9,9,9,9",Electronic,9,"Empowering,Revolutionary","9,9","Electronica,Experimental Techno,Hardcore Techno,Techno","9,9,9,9","intense,menacing,outrageous,rousing,tense/anxious,uncompromising,unsettling,urgent,visceral,volatile",electronic,"empowering,revolutionary","electronica,experimental techno,hardcore techno,techno",T2
MT0000022993,Q3,0.25,0.44375,"Carefree,Earnest,Earthy,Freewheeling,Greasy,Laid-Back/Mellow,Lazy,Light,Messy,Organic,Playful,Refined,Relaxed,Reserved,Self-Conscious,Soothing,Sparse,Street-Smart,Swaggering,Warm,Weary","5,5,5,6,6,6,7,7,7,8,8,8,8,8,8,8,8,8,9,9,9","Blues,R&B","3,9","Feeling Blue,Hanging Out,Relaxation,Summer","4,7,9,9","Blues Revival,Chicago Blues,Early R&B,Electric Blues,Electric Chicago Blues,Electric Harmonica Blues,Regional Blues","3,8,8,8,8,9,9","swaggering,warm,weary",r&b,"relaxation,summer","electric harmonica blues,regional blues","T2,T4"
MT0000027476,Q3,0.40125,0.43125,"Cerebral,Clinical,Complex,Difficult,Dramatic,Elaborate,Intense,Literate,Refined,Reflective,Restrained,Warm","5,5,5,5,5,5,7,7,8,9,9,9","Avant-Garde,Electronic,Pop/Rock","9,9,9","Introspection,The Creative Side","5,5","Alternative/Indie Rock,Computer Music,Electronica,Experimental,Experimental Ambient,Experimental Techno,Glitch,IDM,Noise-Rock,Post-Rock,Techno","4,7,8,9,9,9,9,9,9,9,9","reflective,restrained,warm","avant-garde,electronic,pop/rock","introspection,the creative side","experimental,experimental ambient,experimental techno,glitch,idm,noise-rock,post-rock,techno","T2,T5"
MT0000031210,Q3,0.1375,0.31125,"Bittersweet,Elegant,Freewheeling,Gentle,Plaintive,Poignant,Reflective,Sad,Searching,Wistful,Yearning","6,6,6,6,7,7,7,7,8,9,9","Blues,Jazz,Vocal","7,7,9","Breakup,Feeling Blue,Heartache","7,8,9","Classic Female Blues,Swing,Traditional Pop,Vocal Jazz","7,7,8,9","wistful,yearning",vocal,heartache,vocal jazz,T5
MT0000038502,Q2,0.265625,0.56375,"Aggressive,Angst-Ridden,Anguished/Distraught,Complex,Confident,Confrontational,Crunchy,Dramatic,Elaborate,Fierce,Fiery,Gritty,Gutsy,Harsh,Hostile,Intense,Malevolent,Menacing,Raucous,Sophisticated,Street-Smart,Tense/Anxious,Urgent,Visceral,Volatile","7,7,7,7,7,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9",Pop/Rock,9,"Cool & Cocky,Empowering,Freedom,Guys Night Out","8,8,8,8","Alternative Metal,Alternative/Indie Rock,Death Metal,Heavy Metal,Post-Hardcore,Power Metal,Progressive Metal","5,5,7,7,7,9,9","fierce,fiery,gritty,gutsy,harsh,hostile,intense,malevolent,menacing,raucous,sophisticated,street-smart,tense/anxious,urgent,visceral,volatile",pop/rock,"cool & cocky,empowering,freedom,guys night out","power metal,progressive metal",T2
MT0000040632,Q1,0.665,0.70375,"Bravado,Bright,Cathartic,Celebratory,Confident,Dramatic,Energetic,Fiery,Freewheeling,Intense,Lively,Passionate,Rousing,Sexy,Spicy,Urgent,Yearning","6,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9","International,Jazz","5,9","Dinner Ambiance,In Love,New Love","9,9,9","Contemporary Flamenco,Flamenco,Spanish Folk,Western European Traditions,World Fusion,Worldbeat","5,7,7,8,9,9","sexy,spicy,urgent,yearning",jazz,"dinner ambiance,in love,new love","world fusion,worldbeat",T6
MT0000040773,Q1,0.54375,0.60375,"Amiable/Good-Natured,Boisterous,Brash,Carefree,Celebratory,Cheerful,Confident,Energetic,Exciting,Exuberant,Fun,Gleeful,Happy,Joyous,Light,Lively,Playful,Rollicking,Rousing,Summery,Warm","6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9","Easy Listening,Vocal","8,9","Celebration,Motivation,Partying,Small Gathering,TGIF","8,8,9,9,9","Harmony Vocal Group,Polka,Traditional Pop,Vocal Pop","8,9,9,9","lively,playful,rollicking,rousing,summery,warm",vocal,"partying,small gathering,tgif","polka,traditional pop,vocal pop",T2
MT0000043184,Q3,0.311875,0.3143749999999999,"Bittersweet,Delicate,Dramatic,Earnest,Gentle,Intimate,Laid-Back/Mellow,Melancholy,Plaintive,Refined,Reflective,Relaxed,Reserved,Sentimental,Smooth,Soft/Quiet,Somber,Soothing,Warm,Weary,Wistful","5,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9",Country,9,"Introspection,Reflection,Reminiscing","9,9,9","Contemporary Country,Country-Pop","5,9","soothing,warm,weary,wistful",country,"introspection,reflection,reminiscing",country-pop,"T1,T5"
MT0000044741,Q3,0.311875,0.431875,"Earthy,Freewheeling,Greasy,Gritty,Gutsy,Lazy,Passionate,Relaxed,Street-Smart,Swaggering","5,5,6,7,7,8,8,9,9,9",Blues,9,"Cool & Cocky,Hanging Out,Late Night","9,9,9","Electric Chicago Blues,Electric Harmonica Blues,Harmonica Blues,Regional Blues","5,6,9,9","relaxed,street-smart,swaggering",blues,"cool & cocky,hanging out,late night","harmonica blues,regional blues","T2,T5"
MT0000054705,Q4,0.73,0.36875,"Amiable/Good-Natured,Bright,Elegant,Energetic,Freewheeling,Intimate,Joyous,Light,Precious,Refined,Relaxed,Rollicking,Smooth,Sophisticated,Stylish,Warm","5,5,5,6,6,7,7,7,8,9,9,9,9,9,9,9",Jazz,9,"Background Music,Dinner Ambiance,Hanging Out,Relaxation","9,9,9,9","Bop,Cool,Jazz Instrument,Mainstream Jazz,Piano Jazz,Swing","4,4,4,5,5,9","refined,relaxed,rollicking,smooth,sophisticated,stylish,warm",jazz,"background music,dinner ambiance,hanging out,relaxation",swing,"T2,T4,T6"
MT0000059269,Q3,0.1375,0.31125,"Amiable/Good-Natured,Atmospheric,Earnest,Earthy,Organic,Plaintive,Sad,Sentimental,Sweet,Wistful","5,5,5,6,6,6,6,7,7,9",Country,8,The Great Outdoors,6,"Cowboy,Traditional Country","7,8",wistful,country,the great outdoors,traditional country,T2
MT0000060906,Q3,0.32875,0.4549999999999999,"Angst-Ridden,Bitter,Cynical/Sarcastic,Elaborate,Ironic,Quirky,Snide,Theatrical","5,6,6,6,6,7,7,7",Pop/Rock,8,"Breakup,D-I-V-O-R-C-E,Heartache","6,7,7","Adult Alternative Pop/Rock,Alternative/Indie Rock","8,8","quirky,snide,theatrical",pop/rock,"d-i-v-o-r-c-e,heartache","adult alternative pop/rock,alternative/indie rock",T5
MT0000062500,Q3,0.22625,0.47375,"Anguished/Distraught,Brash,Confrontational,Earnest,Greasy,Gritty,Gutsy,Passionate,Reflective,Swaggering,Yearning","4,5,5,6,7,7,8,8,9,9,9",Blues,8,"Feeling Blue,Late Night","9,9","Electric Memphis Blues,Regional Blues","8,8","reflective,swaggering,yearning",blues,"feeling blue,late night","electric memphis blues,regional blues",T5
MT0000066236,Q2,0.300625,0.5462499999999999,"Anguished/Distraught,Brash,Confident,Confrontational,Energetic,Exciting,Fierce,Fiery,Hostile,Manic,Outrageous,Ramshackle,Rebellious,Rousing,Uncompromising,Urgent","3,4,5,6,6,7,7,8,8,9,9,9,9,9,9,9",Pop/Rock,9,"Empowering,Freedom,Hanging Out,Introspection,Motivation,Revolutionary,The Creative Side","4,5,6,9,9,9,9","Hardcore Punk,Punk/New Wave,Straight-Edge","9,9,9","manic,outrageous,ramshackle,rebellious,rousing,uncompromising,urgent",pop/rock,"introspection,motivation,revolutionary,the creative side","hardcore punk,punk/new wave,straight-edge","T2,T5"
MT0000066421,Q4,0.6018749999999999,0.333125,"Bittersweet,Dramatic,Earnest,Earthy,Elegant,Gentle,Intimate,Laid-Back/Mellow,Light,Melancholy,Organic,Passionate,Refined,Reflective,Relaxed,Reserved,Romantic,Rustic,Sentimental,Smooth,Soft/Quiet,Somber,Soothing,Theatrical,Warm,Weary,Whimsical,Wistful,Yearning","5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9","Country,Latin,Pop/Rock","4,7,9","Feeling Blue,Introspection,Reflection,Relaxation","9,9,9,9","Country-Pop,Mexican Traditions,Roots Rock,Tex-Mex,Traditional Country","4,5,7,7,9","warm,weary,whimsical,wistful,yearning",pop/rock,"feeling blue,introspection,reflection,relaxation",traditional country,"T4,T5"
MT0000074128,Q3,0.34625,0.385625,"Austere,Bittersweet,Cynical/Sarcastic,Dramatic,Earnest,Earthy,Elaborate,Freewheeling,Gloomy,Indulgent,Innocent,Literate,Melancholy,Poignant,Refined,Reflective,Sad,Searching,Self-Conscious,Sentimental,Sophisticated,Stately,Street-Smart,Stylish,Weary,Wistful,Witty,Wry","7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,9,9",Jazz,9,"Affirmation,Feeling Blue,Introspection,Jealousy,Mischievous,Reflection,Regret","7,7,7,8,9,9,9","Jazz Blues,Mainstream Jazz,Vocal Jazz,Vocalese","9,9,9,9","stately,street-smart,stylish,weary,wistful,witty,wry",jazz,"mischievous,reflection,regret","jazz blues,mainstream jazz,vocal jazz,vocalese","T2,T5"
MT0000080053,Q1,0.80625,0.54125,"Boisterous,Brash,Bright,Carefree,Celebratory,Cheerful,Confident,Energetic,Exuberant,Freewheeling,Happy,Humorous,Joyous,Light,Lively,Playful,Rambunctious,Rollicking,Rousing,Sparkling,Summery","5,5,6,6,6,7,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9",Country,9,"Freedom,Girls Night Out,Motivation","7,9,9","Honky Tonk,Nashville Sound/Countrypolitan,Traditional Country","7,8,9","rambunctious,rollicking,rousing,sparkling,summery",country,"girls night out,motivation",traditional country,T2
MT0000082188,Q3,0.20875,0.42125,"Calm/Peaceful,Lonely,Relaxed,Restrained,Romantic,Yearning","5,5,5,5,5,5",Pop/Rock,5,"Awareness,In Love,Pain,Relationships,Romance","5,5,5,5,5",Adult Contemporary,5,"calm/peaceful,lonely,relaxed,restrained,romantic,yearning",pop/rock,"awareness,in love,pain,relationships,romance",adult contemporary,"T1,T6"
MT0000086233,Q3,0.25625,0.25625,"Earnest,Earthy,Greasy,Intimate,Lazy,Melancholy,Nocturnal,Passionate,Reflective,Reserved,Sentimental,Warm,Weary,Yearning","4,5,5,5,5,5,6,6,7,7,7,8,9,9","Blues,Jazz,R&B","4,6,9","Dinner Ambiance,Feeling Blue,Late Night","9,9,9","Early R&B,East Coast Blues,Regional Blues,Soul Jazz","4,6,6,9","weary,yearning",r&b,"dinner ambiance,feeling blue,late night",soul jazz,"T5,T6"
MT0000089410,Q4,0.7793749999999999,0.406875,"Agreeable,Dreamy,Intimate,Lonely,Relaxed,Romantic,Sentimental,Sweet","5,5,5,5,5,5,5,5","Easy Listening,Jazz,Pop/Rock","5,5,5","Awareness,In Love,Poetry,Relationships,Romance","5,5,5,5,5",Adult Contemporary,5,"agreeable,dreamy,intimate,lonely,relaxed,romantic,sentimental,sweet","easy listening,jazz,pop/rock","awareness,in love,poetry,relationships,romance",adult contemporary,"T1,T6"
MT0000091781,Q3,0.42625,0.36625,"Calm/Peaceful,Gloomy,Lonely,Mechanical,Sad,Striding","5,5,5,5,5,5","Classical,Pop/Rock","5,5","Family,In Love,Passion,Relationships,Sex,Temptation","5,5,5,5,5,5","Adult Alternative Pop/Rock,Alternative/Indie Rock,Chamber Pop,Classical Crossover,Singer/Songwriter","5,5,7,7,7","calm/peaceful,gloomy,lonely,mechanical,sad,striding","classical,pop/rock","family,in love,passion,relationships,sex,temptation","chamber pop,classical crossover,singer/songwriter","T1,T3,T6"
MT0000092267,Q4,0.6125,0.38625,"Bittersweet,Confident,Earnest,Melancholy,Poignant,Reflective,Relaxed,Romantic,Searching,Sentimental,Slick,Smooth,Sophisticated,Street-Smart,Stylish,Wistful,Yearning","7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8",Rap,9,"Cool & Cocky,Feeling Blue,Heartache,In Love,Introspection,Reflection","7,7,7,7,7,7","Alternative Rap,East Coast Rap","5,9","street-smart,stylish,wistful,yearning",rap,"cool & cocky,feeling blue,heartache,in love,introspection,reflection",east coast rap,"T2,T5,T6"
MT0000097008,Q4,0.75625,0.315,"Amiable/Good-Natured,Earnest,Gentle,Hypnotic,Intimate,Laid-Back/Mellow,Light,Organic,Passionate,Relaxed,Soothing,Warm","5,6,6,7,7,7,8,8,8,9,9,9","Blues,International","5,9","Rainy Day,Relaxation,Sunday Afternoon","9,9,9","African Folk,African Traditions,Contemporary Blues","5,9,9","relaxed,soothing,warm",international,"rainy day,relaxation,sunday afternoon","african traditions,contemporary blues",T4
MT0000097948,Q4,0.6656249999999999,0.3025,"Bittersweet,Delicate,Earnest,Elegant,Gentle,Laid-Back/Mellow,Melancholy,Plaintive,Poignant,Refined,Relaxed,Sad,Sentimental,Soothing,Warm,Wistful,Yearning","5,6,6,7,7,7,7,7,7,7,7,7,8,9,9,9,9","Jazz,Vocal","8,9","Feeling Blue,Heartache,Introspection,Regret","7,8,9,9","Swing,Traditional Pop,Vocal Jazz","7,8,9","soothing,warm,wistful,yearning",vocal,"introspection,regret",vocal jazz,T5
MT0000098581,Q3,0.25625,0.3575,"Amiable/Good-Natured,Atmospheric,Earthy,Greasy,Intimate,Laid-Back/Mellow,Lazy,Naive,Nocturnal,Relaxed,Romantic,Self-Conscious,Sentimental,Soft/Quiet,Sparse,Street-Smart,Swaggering,Warm","4,4,5,5,5,5,5,5,5,7,7,7,7,7,8,8,9,9",R&B,9,"Late Night,New Love,Reminiscing,Romantic Evening,Slow Dance","9,9,9,9,9","Doo Wop,Early R&B","7,9","swaggering,warm",r&b,"late night,new love,reminiscing,romantic evening,slow dance",early r&b,"T1,T5,T6"
MT0000103049,Q4,0.6656249999999999,0.3037499999999999,"Atmospheric,Delicate,Dramatic,Earnest,Ethereal,Gentle,Innocent,Lush,Nocturnal,Poignant,Refined,Reflective,Relaxed,Reverent,Sentimental,Smooth,Soft/Quiet,Soothing,Spiritual,Yearning","6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9","Country,Religious","7,9","Comfort,Sunday Afternoon","7,9","Country Gospel,Gospel,Nashville Sound/Countrypolitan,Traditional Country","6,7,7,9","smooth,soft/quiet,soothing,spiritual,yearning",religious,sunday afternoon,traditional country,T4
MT0000104363,Q1,0.80625,0.725,"Bravado,Bright,Celebratory,Confident,Energetic,Exciting,Fun,Joyous,Lively,Playful,Raucous,Rousing,Sexy,Swaggering","5,5,5,7,7,7,7,7,8,8,8,9,9,9",Pop/Rock,9,"Cool & Cocky,Drinking,Guys Night Out,Hanging Out,Partying,Summer,TGIF","8,8,9,9,9,9,9","Rock & Roll,Rockabilly","7,9","rousing,sexy,swaggering",pop/rock,"guys night out,hanging out,partying,summer,tgif",rockabilly,T2
MT0000105492,Q1,0.8,0.66875,"Dreamy,Lonely,Romantic,Sensual","5,5,5,5","Electronic,Pop/Rock,R&B","5,5,7","Happiness,In Love,Passion","5,5,5","Adult Contemporary,Adult Contemporary R&B,Club/Dance,Contemporary R&B,Pop,Urban","5,5,6,6,7,9","dreamy,lonely,romantic,sensual",r&b,"happiness,in love,passion",urban,"T1,T6"
MT0000110175,Q1,0.82875,0.61125,"Celebratory,Cheerful,Earthy,Freewheeling,Fun,Happy,Lively,Playful,Rollicking,Rousing,Swaggering","9,9,9,9,9,9,9,9,9,9,9","Pop/Rock,R&B","9,9","Hanging Out,Partying,Playful,TGIF","8,9,9,9","Early R&B,New Orleans R&B,Rock & Roll","9,9,9","celebratory,cheerful,earthy,freewheeling,fun,happy,lively,playful,rollicking,rousing,swaggering","pop/rock,r&b","partying,playful,tgif","early r&b,new orleans r&b,rock & roll",T2
MT0000117176,Q4,0.753125,0.359375,"Amiable/Good-Natured,Atmospheric,Calm/Peaceful,Complex,Earthy,Elegant,Gentle,Intimate,Passionate,Plaintive,Poignant,Relaxed,Romantic,Smooth,Soothing,Stately,Stylish,Sweet,Warm,Yearning","6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7","Jazz,Vocal","9,9","Affirmation,At the Office,Early Morning,Empowering,Feeling Blue,Freedom,Late Night,Monday Morning,Rainy Day,Relaxation,Reminiscing,Sunday Afternoon","5,5,5,5,5,5,5,5,5,5,5,5","Mainstream Jazz,Swing,Traditional Pop","3,9,9","calm/peaceful,complex,earthy,elegant,gentle,intimate,passionate,plaintive,poignant,relaxed,romantic,smooth,soothing,stately,stylish,sweet,warm,yearning","jazz,vocal","affirmation,at the office,early morning,empowering,feeling blue,freedom,late night,monday morning,rainy day,relaxation,reminiscing,sunday afternoon","swing,traditional pop","T1,T2,T4,T5"
MT0000119701,Q4,0.753125,0.389375,"Calm/Peaceful,Carefree,Confident,Dramatic,Dreamy,Earnest,Elegant,Gentle,Intimate,Poignant,Refined,Reflective,Relaxed,Romantic,Sentimental,Smooth,Soothing,Sophisticated,Stylish,Sweet,Warm","5,5,5,5,5,5,5,5,6,6,7,7,7,7,8,8,8,8,8,9,9","Jazz,Vocal","7,8","Affection/Fondness,Comfort,Dinner Ambiance,In Love,Romantic Evening","5,5,5,6,7","Tin Pan Alley Pop,Traditional Pop,Vocal Jazz,Vocal Pop","6,7,7,8","sweet,warm",vocal,romantic evening,vocal pop,T6
MT0000119987,Q1,0.82875,0.665,"Bright,Carefree,Celebratory,Fun,Playful,Quirky,Sexy,Slick,Sparkling,Stylish,Summery,Wistful","7,7,7,7,7,7,7,7,7,8,8,9","R&B,Rap","7,9","Club,Empowering,Girls Night Out,Partying,Sex,TGIF","8,8,8,8,8,9","Pop-Rap,Urban","7,9",wistful,rap,tgif,urban,T2
MT0000123853,Q3,0.26875,0.31125,"Bittersweet,Delicate,Gentle,Gloomy,Innocent,Intimate,Melancholy,Poignant,Precious,Sad,Wistful,Yearning","6,7,7,8,8,8,8,8,8,9,9,9",R&B,9,"Feeling Blue,Heartache,Regret","8,9,9","Doo Wop,Early R&B","9,9","sad,wistful,yearning",r&b,"heartache,regret","doo wop,early r&b",T5
MT0000124779,Q3,0.28625,0.375,"Brooding,Cathartic,Gloomy,Intimate,Literate,Melancholy,Passionate,Poignant,Reflective,Sensual,Visceral,Yearning","3,4,5,5,5,5,5,5,6,7,7,9",Pop/Rock,9,"Heartache,Late Night,Reflection","2,6,8","Adult Alternative Pop/Rock,Alternative Pop/Rock,Alternative/Indie Rock","9,9,9",yearning,pop/rock,reflection,"adult alternative pop/rock,alternative pop/rock,alternative/indie rock",T5
MT0000133200,Q2,0.30625,0.54875,"Aggressive,Angry,Angst-Ridden,Bitter,Brooding,Confrontational,Crunchy,Gritty,Gutsy,Harsh,Hostile,Intense,Malevolent,Menacing,Nihilistic,Ominous,Rousing,Tense/Anxious,Theatrical,Urgent,Visceral,Volatile","7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8",Pop/Rock,9,"Feeling Blue,Introspection,Reflection,Solitude,The Creative Side","7,7,7,7,7","Alternative Metal,Alternative Pop/Rock,Alternative/Indie Rock,Hard Rock,Heavy Metal","7,7,7,9,9","harsh,hostile,intense,malevolent,menacing,nihilistic,ominous,rousing,tense/anxious,theatrical,urgent,visceral,volatile",pop/rock,"feeling blue,introspection,reflection,solitude,the creative side","hard rock,heavy metal","T2,T5"
MT0000144160,Q4,0.625,0.325,"Bittersweet,Detached,Earnest,Earthy,Gentle,Innocent,Intimate,Laid-Back/Mellow,Light,Naive,Refined,Reflective,Relaxed,Reserved,Reverent,Rustic,Smooth,Soft/Quiet,Warm,Weary,Whimsical,Yearning","5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,8,9,9,9,9,9","Country,Holiday,Pop/Rock","5,5,9","Christmas Party,Family Gatherings,Holidays,Winter","9,9,9,9","Christmas,Contemporary Country,Country-Rock,Holidays","5,5,9,9","soft/quiet,warm,weary,whimsical,yearning",pop/rock,"christmas party,family gatherings,holidays,winter","country-rock,holidays",T4
MT0000145509,Q2,0.395,0.54375,"Aggressive,Malevolent,Menacing,Outrageous,Rambunctious,Raucous,Rebellious,Rowdy,Stylish,Theatrical,Visceral,Wistful,Yearning","3,5,5,6,6,7,7,7,7,7,7,8,9",Pop/Rock,9,"Guys Night Out,Halloween,Late Night,TGIF","7,7,8,8","Album Rock,British Metal,Hard Rock,Heavy Metal,Neo-Classical Metal,Stoner Metal","3,3,7,8,9,9",yearning,pop/rock,"late night,tgif","neo-classical metal,stoner metal","T2,T5"
