song_id,quadrant,artist,title,duration,mood,mood_all,mood_all_weights,genre,genre_weights,theme,theme_weights,style,style_weights,arousal,valence,audio_path
MT0000022993,Q3,Jimmy Reed,Wanta Be with You,185.0,"Greasy,Lazy,Messy,Sparse","Carefree,Earnest,Earthy,Freewheeling,Greasy,Laid-Back/Mellow,Lazy,Light,Messy,Organic,Playful,Refined,Relaxed,Reserved,Self-Conscious,Soothing,Sparse,Street-Smart,Swaggering,Warm,Weary","5,5,5,6,6,6,7,7,7,8,8,8,8,8,8,8,8,8,9,9,9","Blues,R&B","3,9","Feeling Blue,Hanging Out,Relaxation,Summer","4,7,9,9","Blues Revival,Chicago Blues,Early R&B,Electric Blues,Electric Chicago Blues,Electric Harmonica Blues,Regional Blues","3,8,8,8,8,9,9",0.44375,0.25,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q3/MT0000022993.mp3
MT0000027476,Q3,Fennesz,Laguna,176.0,"Clinical,Complex,Difficult","Cerebral,Clinical,Complex,Difficult,Dramatic,Elaborate,Intense,Literate,Refined,Reflective,Restrained,Warm","5,5,5,5,5,5,7,7,8,9,9,9","Avant-Garde,Electronic,Pop/Rock","9,9,9","Introspection,The Creative Side","5,5","Alternative/Indie Rock,Computer Music,Electronica,Experimental,Experimental Ambient,Experimental Techno,Glitch,IDM,Noise-Rock,Post-Rock,Techno","4,7,8,9,9,9,9,9,9,9,9",0.43125,0.40125,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q3/MT0000027476.mp3
MT0000031210,Q3,Billie Holiday,Without Your Love,172.0,"Bittersweet,Elegant,Freewheeling,Gentle,Plaintive,Poignant,Reflective,Sad,Searching,Wistful,Yearning","Bittersweet,Elegant,Freewheeling,Gentle,Plaintive,Poignant,Reflective,Sad,Searching,Wistful,Yearning","6,6,6,6,7,7,7,7,8,9,9","Blues,Jazz,Vocal","7,7,9","Breakup,Feeling Blue,Heartache","7,8,9","Classic Female Blues,Swing,Traditional Pop,Vocal Jazz","7,7,8,9",0.31125,0.1375,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q3/MT0000031210.mp3
MT0000038502,Q2,The End,Fetesque,235.0,"Anguished/Distraught,Crunchy,Fierce,Harsh,Hostile,Malevolent","Aggressive,Angst-Ridden,Anguished/Distraught,Complex,Confident,Confrontational,Crunchy,Dramatic,Elaborate,Fierce,Fiery,Gritty,Gutsy,Harsh,Hostile,Intense,Malevolent,Menacing,Raucous,Sophisticated,Street-Smart,Tense/Anxious,Urgent,Visceral,Volatile","7,7,7,7,7,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9",Pop/Rock,9,"Cool & Cocky,Empowering,Freedom,Guys Night Out","8,8,8,8","Alternative Metal,Alternative/Indie Rock,Death Metal,Heavy Metal,Post-Hardcore,Power Metal,Progressive Metal","5,5,7,7,7,9,9",0.56375,0.265625,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q2/MT0000038502.mp3
MT0000040632,Q1,Gipsy Kings,Flamencos en el Aire,244.0,"Cathartic,Fiery,Sexy,Spicy","Bravado,Bright,Cathartic,Celebratory,Confident,Dramatic,Energetic,Fiery,Freewheeling,Intense,Lively,Passionate,Rousing,Sexy,Spicy,Urgent,Yearning","6,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9","International,Jazz","5,9","Dinner Ambiance,In Love,New Love","9,9,9","Contemporary Flamenco,Flamenco,Spanish Folk,Western European Traditions,World Fusion,Worldbeat","5,7,7,8,9,9",0.70375,0.665,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q1/MT0000040632.mp3
MT0000040773,Q1,The Andrews Sisters,Beer Barrel Polka,,"Rollicking,Rousing,Summery,Warm","Amiable/Good-Natured,Boisterous,Brash,Carefree,Celebratory,Cheerful,Confident,Energetic,Exciting,Exuberant,Fun,Gleeful,Happy,Joyous,Light,Lively,Playful,Rollicking,Rousing,Summery,Warm","6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9","Easy Listening,Vocal","8,9","Celebration,Motivation,Partying,Small Gathering,TGIF","8,8,9,9,9","Harmony Vocal Group,Polka,Traditional Pop,Vocal Pop","8,9,9,9",0.60375,0.54375,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q1/MT0000040773.mp3
MT0000043184,Q3,Dolly Parton,God Won't Get You,,"Bittersweet,Delicate,Dramatic,Earnest,Gentle,Intimate,Laid-Back/Mellow,Melancholy,Plaintive,Refined,Reflective,Relaxed,Reserved,Sentimental,Smooth,Soft/Quiet,Somber,Soothing,Warm,Weary,Wistful","Bittersweet,Delicate,Dramatic,Earnest,Gentle,Intimate,Laid-Back/Mellow,Melancholy,Plaintive,Refined,Reflective,Relaxed,Reserved,Sentimental,Smooth,Soft/Quiet,Somber,Soothing,Warm,Weary,Wistful","5,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9",Country,9,"Introspection,Reflection,Reminiscing","9,9,9","Contemporary Country,Country-Pop","5,9",0.3143749999999999,0.311875,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q3/MT0000043184.mp3
MT0000044741,Q3,Little Walter,Last Night,174.0,"Greasy,Gritty,Gutsy,Lazy","Earthy,Freewheeling,Greasy,Gritty,Gutsy,Lazy,Passionate,Relaxed,Street-Smart,Swaggering","5,5,6,7,7,8,8,9,9,9",Blues,9,"Cool & Cocky,Hanging Out,Late Night","9,9,9","Electric Chicago Blues,Electric Harmonica Blues,Harmonica Blues,Regional Blues","5,6,9,9",0.431875,0.311875,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q3/MT0000044741.mp3
MT0000054705,Q4,George Shearing,The Masquerade is Over,581.0,"Bright,Elegant,Joyous,Light,Precious,Refined,Relaxed,Rollicking","Amiable/Good-Natured,Bright,Elegant,Energetic,Freewheeling,Intimate,Joyous,Light,Precious,Refined,Relaxed,Rollicking,Smooth,Sophisticated,Stylish,Warm","5,5,5,6,6,7,7,7,8,9,9,9,9,9,9,9",Jazz,9,"Background Music,Dinner Ambiance,Hanging Out,Relaxation","9,9,9,9","Bop,Cool,Jazz Instrument,Mainstream Jazz,Piano Jazz,Swing","4,4,4,5,5,9",0.36875,0.73,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q4/MT0000054705.mp3
MT0000059269,Q3,Gene Autry,Mexicali Rose,191.0,"Amiable/Good-Natured,Atmospheric,Earnest,Earthy,Organic,Plaintive,Sad,Sentimental,Sweet,Wistful","Amiable/Good-Natured,Atmospheric,Earnest,Earthy,Organic,Plaintive,Sad,Sentimental,Sweet,Wistful","5,5,5,6,6,6,6,7,7,9",Country,8,The Great Outdoors,6,"Cowboy,Traditional Country","7,8",0.31125,0.1375,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q3/MT0000059269.mp3
MT0000060906,Q3,Bag,I Hate You Baby,146.0,"Bitter,Cynical/Sarcastic,Ironic,Snide","Angst-Ridden,Bitter,Cynical/Sarcastic,Elaborate,Ironic,Quirky,Snide,Theatrical","5,6,6,6,6,7,7,7",Pop/Rock,8,"Breakup,D-I-V-O-R-C-E,Heartache","6,7,7","Adult Alternative Pop/Rock,Alternative/Indie Rock","8,8",0.4549999999999999,0.32875,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q3/MT0000060906.mp3
MT0000062500,Q3,Willie Nix,Seems Like a Million Years,163.0,"Anguished/Distraught,Greasy","Anguished/Distraught,Brash,Confrontational,Earnest,Greasy,Gritty,Gutsy,Passionate,Reflective,Swaggering,Yearning","4,5,5,6,7,7,8,8,9,9,9",Blues,8,"Feeling Blue,Late Night","9,9","Electric Memphis Blues,Regional Blues","8,8",0.47375,0.22625,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q3/MT0000062500.mp3
MT0000066236,Q2,Void,My Rules,0.0,"Anguished/Distraught,Fierce,Hostile,Manic,Outrageous,Ramshackle","Anguished/Distraught,Brash,Confident,Confrontational,Energetic,Exciting,Fierce,Fiery,Hostile,Manic,Outrageous,Ramshackle,Rebellious,Rousing,Uncompromising,Urgent","3,4,5,6,6,7,7,8,8,9,9,9,9,9,9,9",Pop/Rock,9,"Empowering,Freedom,Hanging Out,Introspection,Motivation,Revolutionary,The Creative Side","4,5,6,9,9,9,9","Hardcore Punk,Punk/New Wave,Straight-Edge","9,9,9",0.5462499999999999,0.300625,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q2/MT0000066236.mp3
MT0000066421,Q4,Freddy Fender,Talk to Me,174.0,"Organic,Reserved,Rustic,Soft/Quiet,Somber,Theatrical,Weary,Whimsical","Bittersweet,Dramatic,Earnest,Earthy,Elegant,Gentle,Intimate,Laid-Back/Mellow,Light,Melancholy,Organic,Passionate,Refined,Reflective,Relaxed,Reserved,Romantic,Rustic,Sentimental,Smooth,Soft/Quiet,Somber,Soothing,Theatrical,Warm,Weary,Whimsical,Wistful,Yearning","5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9","Country,Latin,Pop/Rock","4,7,9","Feeling Blue,Introspection,Reflection,Relaxation","9,9,9,9","Country-Pop,Mexican Traditions,Roots Rock,Tex-Mex,Traditional Country","4,5,7,7,9",0.333125,0.6018749999999999,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q4/MT0000066421.mp3
MT0000074128,Q3,Jon Hendricks,Do You Call That a Buddy?,275.0,"Austere,Cynical/Sarcastic,Gloomy,Indulgent,Sad,Stately","Austere,Bittersweet,Cynical/Sarcastic,Dramatic,Earnest,Earthy,Elaborate,Freewheeling,Gloomy,Indulgent,Innocent,Literate,Melancholy,Poignant,Refined,Reflective,Sad,Searching,Self-Conscious,Sentimental,Sophisticated,Stately,Street-Smart,Stylish,Weary,Wistful,Witty,Wry","7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,9,9",Jazz,9,"Affirmation,Feeling Blue,Introspection,Jealousy,Mischievous,Reflection,Regret","7,7,7,8,9,9,9","Jazz Blues,Mainstream Jazz,Vocal Jazz,Vocalese","9,9,9,9",0.385625,0.34625,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q3/MT0000074128.mp3
MT0000080053,Q1,Patsy Cline,Honky Tonk Merry-Go Round,142.0,"Humorous,Joyous,Sparkling","Boisterous,Brash,Bright,Carefree,Celebratory,Cheerful,Confident,Energetic,Exuberant,Freewheeling,Happy,Humorous,Joyous,Light,Lively,Playful,Rambunctious,Rollicking,Rousing,Sparkling,Summery","5,5,6,6,6,7,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9",Country,9,"Freedom,Girls Night Out,Motivation","7,9,9","Honky Tonk,Nashville Sound/Countrypolitan,Traditional Country","7,8,9",0.54125,0.80625,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q1/MT0000080053.mp3
MT0000082188,Q3,Elvis Costello,Ive Been Wrong Before,183.0,"Calm/Peaceful,Lonely,Relaxed,Restrained,Romantic,Yearning","Calm/Peaceful,Lonely,Relaxed,Restrained,Romantic,Yearning","5,5,5,5,5,5",Pop/Rock,5,"Awareness,In Love,Pain,Relationships,Romance","5,5,5,5,5",Adult Contemporary,5,0.42125,0.20875,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q3/MT0000082188.mp3
MT0000086233,Q3,Freddie Jackson,Sentimental Blues,161.0,"Greasy,Lazy,Weary","Earnest,Earthy,Greasy,Intimate,Lazy,Melancholy,Nocturnal,Passionate,Reflective,Reserved,Sentimental,Warm,Weary,Yearning","4,5,5,5,5,5,6,6,7,7,7,8,9,9","Blues,Jazz,R&B","4,6,9","Dinner Ambiance,Feeling Blue,Late Night","9,9,9","Early R&B,East Coast Blues,Regional Blues,Soul Jazz","4,6,6,9",0.25625,0.25625,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q3/MT0000086233.mp3
MT0000089410,Q4,Marvin Gaye,The Shadow of Your Smile,181.0,"Agreeable,Dreamy,Intimate,Lonely,Relaxed,Romantic,Sentimental,Sweet","Agreeable,Dreamy,Intimate,Lonely,Relaxed,Romantic,Sentimental,Sweet","5,5,5,5,5,5,5,5","Easy Listening,Jazz,Pop/Rock","5,5,5","Awareness,In Love,Poetry,Relationships,Romance","5,5,5,5,5",Adult Contemporary,5,0.406875,0.7793749999999999,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q4/MT0000089410.mp3
MT0000091781,Q3,Marianne Faithfull,Love in the Afternoon,,"Calm/Peaceful,Gloomy,Lonely,Mechanical,Sad,Striding","Calm/Peaceful,Gloomy,Lonely,Mechanical,Sad,Striding","5,5,5,5,5,5","Classical,Pop/Rock","5,5","Family,In Love,Passion,Relationships,Sex,Temptation","5,5,5,5,5,5","Adult Alternative Pop/Rock,Alternative/Indie Rock,Chamber Pop,Classical Crossover,Singer/Songwriter","5,5,7,7,7",0.36625,0.42625,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q3/MT0000091781.mp3
MT0000092267,Q4,De La Soul,All Good,194.0,"Bittersweet,Confident,Earnest,Melancholy,Poignant,Reflective,Relaxed,Romantic,Searching,Sentimental,Slick,Smooth,Sophisticated,Street-Smart,Stylish,Wistful,Yearning","Bittersweet,Confident,Earnest,Melancholy,Poignant,Reflective,Relaxed,Romantic,Searching,Sentimental,Slick,Smooth,Sophisticated,Street-Smart,Stylish,Wistful,Yearning","7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8",Rap,9,"Cool & Cocky,Feeling Blue,Heartache,In Love,Introspection,Reflection","7,7,7,7,7,7","Alternative Rap,East Coast Rap","5,9",0.38625,0.6125,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q4/MT0000092267.mp3
MT0000097008,Q4,Ry Cooder,Amandrai,562.0,"Amiable/Good-Natured,Earnest,Gentle,Hypnotic,Intimate,Laid-Back/Mellow,Light,Organic,Passionate,Relaxed,Soothing,Warm","Amiable/Good-Natured,Earnest,Gentle,Hypnotic,Intimate,Laid-Back/Mellow,Light,Organic,Passionate,Relaxed,Soothing,Warm","5,6,6,7,7,7,8,8,8,9,9,9","Blues,International","5,9","Rainy Day,Relaxation,Sunday Afternoon","9,9,9","African Folk,African Traditions,Contemporary Blues","5,9,9",0.315,0.75625,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q4/MT0000097008.mp3
MT0000097948,Q4,Nat King Cole,"Baby, Baby All the Time",179.0,"Bittersweet,Delicate,Earnest,Elegant,Gentle,Laid-Back/Mellow,Melancholy,Plaintive,Poignant,Refined,Relaxed,Sad,Sentimental,Soothing,Warm,Wistful,Yearning","Bittersweet,Delicate,Earnest,Elegant,Gentle,Laid-Back/Mellow,Melancholy,Plaintive,Poignant,Refined,Relaxed,Sad,Sentimental,Soothing,Warm,Wistful,Yearning","5,6,6,7,7,7,7,7,7,7,7,7,8,9,9,9,9","Jazz,Vocal","8,9","Feeling Blue,Heartache,Introspection,Regret","7,8,9,9","Swing,Traditional Pop,Vocal Jazz","7,8,9",0.3025,0.6656249999999999,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q4/MT0000097948.mp3
MT0000098581,Q3,Clyde McPhatter,I Am With You,194.0,"Greasy,Lazy,Naive,Sparse","Amiable/Good-Natured,Atmospheric,Earthy,Greasy,Intimate,Laid-Back/Mellow,Lazy,Naive,Nocturnal,Relaxed,Romantic,Self-Conscious,Sentimental,Soft/Quiet,Sparse,Street-Smart,Swaggering,Warm","4,4,5,5,5,5,5,5,5,7,7,7,7,7,8,8,9,9",R&B,9,"Late Night,New Love,Reminiscing,Romantic Evening,Slow Dance","9,9,9,9,9","Doo Wop,Early R&B","7,9",0.3575,0.25625,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q3/MT0000098581.mp3
MT0000103049,Q4,Patsy Cline,Just a Closer Walk With Thee,170.0,"Delicate,Dramatic,Earnest,Ethereal,Gentle,Innocent,Lush,Nocturnal,Poignant,Refined,Reflective,Relaxed,Reverent,Sentimental,Smooth,Soft/Quiet,Soothing,Spiritual,Yearning","Atmospheric,Delicate,Dramatic,Earnest,Ethereal,Gentle,Innocent,Lush,Nocturnal,Poignant,Refined,Reflective,Relaxed,Reverent,Sentimental,Smooth,Soft/Quiet,Soothing,Spiritual,Yearning","6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9","Country,Religious","7,9","Comfort,Sunday Afternoon","7,9","Country Gospel,Gospel,Nashville Sound/Countrypolitan,Traditional Country","6,7,7,9",0.3037499999999999,0.6656249999999999,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q4/MT0000103049.mp3
MT0000104363,Q1,Blue Caps,Cruisin',132.0,"Exciting,Joyous,Sexy","Bravado,Bright,Celebratory,Confident,Energetic,Exciting,Fun,Joyous,Lively,Playful,Raucous,Rousing,Sexy,Swaggering","5,5,5,7,7,7,7,7,8,8,8,9,9,9",Pop/Rock,9,"Cool & Cocky,Drinking,Guys Night Out,Hanging Out,Partying,Summer,TGIF","8,8,9,9,9,9,9","Rock & Roll,Rockabilly","7,9",0.725,0.80625,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q1/MT0000104363.mp3
MT0000105492,Q1,Whitney Houston,Oh Yes,407.0,"Dreamy,Lonely,Sensual","Dreamy,Lonely,Romantic,Sensual","5,5,5,5","Electronic,Pop/Rock,R&B","5,5,7","Happiness,In Love,Passion","5,5,5","Adult Contemporary,Adult Contemporary R&B,Club/Dance,Contemporary R&B,Pop,Urban","5,5,6,6,7,9",0.66875,0.8,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q1/MT0000105492.mp3
MT0000110175,Q1,Aaron Neville,Over You,140.0,"Celebratory,Cheerful,Earthy,Freewheeling,Fun,Happy,Lively,Playful,Rollicking,Rousing,Swaggering","Celebratory,Cheerful,Earthy,Freewheeling,Fun,Happy,Lively,Playful,Rollicking,Rousing,Swaggering","9,9,9,9,9,9,9,9,9,9,9","Pop/Rock,R&B","9,9","Hanging Out,Partying,Playful,TGIF","8,9,9,9","Early R&B,New Orleans R&B,Rock & Roll","9,9,9",0.61125,0.82875,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q1/MT0000110175.mp3
MT0000117176,Q4,Duke Ellington,Stardust,239.0,"Amiable/Good-Natured,Atmospheric,Calm/Peaceful,Complex,Earthy,Elegant,Gentle,Intimate,Passionate,Plaintive,Poignant,Relaxed,Romantic,Smooth,Soothing,Stately,Stylish,Sweet,Warm,Yearning","Amiable/Good-Natured,Atmospheric,Calm/Peaceful,Complex,Earthy,Elegant,Gentle,Intimate,Passionate,Plaintive,Poignant,Relaxed,Romantic,Smooth,Soothing,Stately,Stylish,Sweet,Warm,Yearning","6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7","Jazz,Vocal","9,9","Affirmation,At the Office,Early Morning,Empowering,Feeling Blue,Freedom,Late Night,Monday Morning,Rainy Day,Relaxation,Reminiscing,Sunday Afternoon","5,5,5,5,5,5,5,5,5,5,5,5","Mainstream Jazz,Swing,Traditional Pop","3,9,9",0.359375,0.753125,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q4/MT0000117176.mp3
